time_s,enc_speed_cm_s,cmd_speed_cm_s
1.084414005279541,51.985,50.0
1.1065361499786377,51.843,50.0
1.1265265941619873,51.012,50.0
1.1484084129333496,51.565,50.0
1.1684598922729492,52.688,50.0
1.1904346942901611,50.0,50.0
1.2104651927947998,51.22,50.0
1.230417251586914,52.26,50.0
1.252464771270752,50.961,50.0
1.2745344638824463,52.097,50.0
1.2954115867614746,51.622,50.0
1.31742525100708,51.632,50.0
1.337418556213379,52.218,50.0
1.3584041595458984,52.083,50.0
1.3804137706756592,50.0,50.0
1.402414083480835,51.322,50.0
1.4244163036346436,52.522,50.0
1.4464237689971924,51.253,50.0
1.4684514999389648,52.497,50.0
1.4885361194610596,51.48,50.0
1.5095348358154297,51.359,50.0
1.5315396785736084,51.377,50.0
1.5538840293884277,52.026,50.0
1.5754194259643555,50.0,50.0
1.597470760345459,50.921,50.0
1.6194179058074951,51.824,50.0
1.6394705772399902,51.216,50.0
1.6615371704101562,52.739,50.0
1.6824800968170166,51.296,50.0
1.7044479846954346,51.397,50.0
1.7264223098754883,50.986,50.0
1.748445987701416,51.707,50.0
1.7684712409973145,52.476,50.0
1.790421724319458,52.29,50.0
1.8124630451202393,50.0,50.0
1.8344671726226807,50.574,50.0
1.8564255237579346,52.351,50.0
1.8774755001068115,51.547,50.0
1.8994743824005127,53.304,50.0
1.9194695949554443,52.621,50.0
1.9395363330841064,52.502,50.0
1.959536075592041,51.912,50.0
1.9804227352142334,51.026,50.0
2.0000009536743164,50.403,50.0
2.0234217643737793,51.051,50.0
2.0434484481811523,53.166,50.0
2.065519332885742,51.882,50.0
2.0855424404144287,52.432,50.0
2.1055331230163574,51.533,50.0
2.127422571182251,51.832,50.0
2.148467779159546,50.0,50.0
2.1704256534576416,52.931,50.0
2.19045090675354,52.845,50.0
2.213420867919922,51.575,50.0
2.2354235649108887,52.899,50.0
2.2564167976379395,52.448,50.0
2.2784149646759033,53.517,50.0
2.300002098083496,52.086,50.0
2.32041597366333,51.637,50.0
2.342421531677246,51.524,50.0
2.364415407180786,51.326,50.0
2.3864169120788574,50.0,50.0
2.4074435234069824,50.967,50.0
2.4274179935455322,51.754,50.0
2.4494054317474365,50.444,50.0
2.47141695022583,52.036,50.0
2.493467330932617,51.011,50.0
2.5144145488739014,52.197,50.0
2.5345358848571777,52.504,50.0
2.5565171241760254,51.954,50.0
2.5774030685424805,51.946,50.0
2.597445249557495,51.541,50.0
2.620413303375244,52.622,50.0
2.6404166221618652,52.803,50.0
2.662492275238037,53.927,50.0
2.682493209838867,51.559,50.0
2.7045326232910156,52.105,50.0
2.7255425453186035,51.307,50.0
2.7484161853790283,50.755,50.0
2.768425703048706,51.481,50.0
2.7904698848724365,50.983,50.0
2.812464714050293,51.58,50.0
2.834408760070801,51.062,50.0
2.8564624786376953,52.502,50.0
2.8764235973358154,50.658,50.0
2.898418426513672,52.172,50.0
2.9204134941101074,51.717,50.0
2.942410707473755,51.728,50.0
2.962423324584961,50.0,50.0
2.985468864440918,51.13,50.0
3.0064051151275635,52.336,50.0
3.0284361839294434,52.06,50.0
3.0504093170166016,52.881,50.0
3.0704784393310547,51.406,50.0
3.093540668487549,52.299,50.0
3.1144325733184814,50.705,50.0
3.136411190032959,51.361,50.0
3.156416893005371,50.0,50.0
3.1784684658050537,50.58,50.0
3.200000047683716,51.452,50.0
3.222461462020874,50.779,50.0
3.2424283027648926,51.527,50.0
3.2634708881378174,50.838,50.0
3.285538673400879,52.342,50.0
3.307446241378784,51.617,50.0
3.328415632247925,51.732,50.0
3.3504655361175537,51.441,50.0
3.371415615081787,51.186,50.0
3.393397569656372,52.526,50.0
3.41349458694458,52.235,50.0
3.434469223022461,53.165,50.0
3.454465627670288,52.403,50.0
3.476405620574951,52.192,50.0
3.498415946960449,50.772,50.0
3.5184226036071777,51.285,50.0
3.540433406829834,50.0,50.0
3.560466766357422,50.008,50.0
3.582467555999756,51.856,50.0
3.604414701461792,50.785,50.0
3.626460552215576,51.592,50.0
3.6484389305114746,50.971,50.0
3.670485734939575,51.76,50.0
3.692535877227783,51.461,50.0
3.7124643325805664,52.248,50.0
3.7335400581359863,50.0,50.0
3.755446672439575,50.252,50.0
3.777402877807617,52.862,50.0
3.7994210720062256,51.716,50.0
3.8214285373687744,52.766,50.0
3.8424599170684814,51.581,50.0
3.864421844482422,51.414,50.0
3.8864214420318604,51.038,50.0
3.9064152240753174,51.611,50.0
3.9284353256225586,51.194,50.0
