image,charuco_id,observed_u,observed_v,projected_u,projected_v,error_px
images/frame_008.png,34,1120.115112,1044.137939,1120.503174,1043.858032,0.478477
images/frame_010.png,8,770.084290,970.131775,769.613281,969.839539,0.554302
images/frame_010.png,14,691.790344,992.771423,691.437683,992.295227,0.592565
images/frame_010.png,15,759.172424,992.105225,759.981140,992.170654,0.811358
images/frame_010.png,19,1034.575806,991.578308,1035.366821,991.670166,0.796331
images/frame_010.png,20,1103.929565,990.994385,1104.517822,991.544495,0.805399
images/frame_010.png,21,675.061157,1015.770752,677.184753,1016.967041,2.437369
images/frame_010.png,22,749.791992,1016.819092,749.332336,1016.858826,0.461370
images/frame_010.png,23,821.252625,1016.470520,821.613831,1016.750305,0.456891
images/frame_010.png,26,1038.957153,1016.762268,1039.265747,1016.423706,0.458099
images/frame_010.png,27,1112.278687,1016.309875,1112.086670,1016.314453,0.192071
images/frame_010.png,28,661.391907,1044.237671,661.345215,1044.385376,0.154909
images/frame_010.png,29,737.961182,1044.410645,737.496948,1044.297852,0.477739
images/frame_010.png,30,814.045715,1044.069214,813.797974,1044.210327,0.285112
images/frame_010.png,31,889.741699,1044.523438,890.248596,1044.122437,0.646333
images/frame_010.png,32,966.941101,1043.776978,966.849426,1044.034546,0.273397
images/frame_010.png,33,1043.780640,1043.920776,1043.600708,1043.946411,0.181749
images/frame_010.png,34,1120.163086,1044.146729,1120.503174,1043.858032,0.446100
images/frame_011.png,10,900.821655,969.221436,900.507019,969.564148,0.465239
images/frame_011.png,11,965.681580,969.317810,966.119019,969.426086,0.450640
images/frame_011.png,14,691.714661,992.778381,691.437683,992.295227,0.556915
images/frame_011.png,17,897.749023,991.913757,897.430969,991.920837,0.318133
images/frame_011.png,18,966.173584,991.955933,966.338013,991.795654,0.229621
images/frame_011.png,19,1035.531860,991.811951,1035.366821,991.670166,0.217579
images/frame_011.png,20,1104.352539,990.911926,1104.517822,991.544495,0.653805
images/frame_011.png,21,677.205627,1016.809204,677.184753,1016.967041,0.159211
images/frame_011.png,24,894.206848,1016.635986,894.029663,1016.641663,0.177276
images/frame_011.png,25,966.714905,1016.523193,966.580200,1016.532776,0.135045
images/frame_011.png,26,1039.283203,1016.591797,1039.265747,1016.423706,0.168995
images/frame_011.png,27,1112.352051,1016.172852,1112.086670,1016.314453,0.300796
images/frame_011.png,28,661.383118,1044.292358,661.345215,1044.385376,0.100443
images/frame_011.png,29,736.956360,1044.122925,737.496948,1044.297852,0.568186
images/frame_011.png,30,814.135498,1044.151001,813.797974,1044.210327,0.342699
images/frame_011.png,31,889.810913,1044.318726,890.248596,1044.122437,0.479683
images/frame_011.png,32,966.960999,1043.856445,966.849426,1044.034546,0.210162
images/frame_011.png,33,1043.869141,1043.873169,1043.600708,1043.946411,0.278245
images/frame_011.png,34,1120.446899,1044.198120,1120.503174,1043.858032,0.344712
images/frame_012.png,15,759.127380,992.007202,759.981140,992.170654,0.869265
images/frame_012.png,18,966.228638,991.994141,966.338013,991.795654,0.226627
images/frame_012.png,19,1035.409912,991.751587,1035.366821,991.670166,0.092120
images/frame_012.png,20,1103.859497,991.001770,1104.517822,991.544495,0.853195
images/frame_012.png,23,821.201355,1016.468140,821.613831,1016.750305,0.499753
images/frame_012.png,24,894.430420,1016.513123,894.029663,1016.641663,0.420866
images/frame_012.png,25,966.405212,1016.563416,966.580200,1016.532776,0.177650
images/frame_012.png,26,1040.789307,1016.155457,1039.265747,1016.423706,1.546994
images/frame_012.png,27,1112.251465,1016.254517,1112.086670,1016.314453,0.175356
images/frame_012.png,30,814.061890,1044.139771,813.797974,1044.210327,0.273185
images/frame_012.png,31,890.010559,1044.399658,890.248596,1044.122437,0.365395
images/frame_012.png,32,966.973328,1043.706665,966.849426,1044.034546,0.350510
images/frame_012.png,33,1043.827026,1043.867676,1043.600708,1043.946411,0.239623
images/frame_012.png,34,1120.228638,1044.112061,1120.503174,1043.858032,0.374033
images/frame_013.png,2,841.067810,949.665649,840.784973,949.395691,0.390991
images/frame_013.png,3,903.760559,948.951599,903.302368,949.247864,0.545630
images/frame_013.png,11,965.567871,969.417603,966.119019,969.426086,0.551213
images/frame_013.png,12,1031.829224,969.092834,1031.841431,969.287842,0.195389
images/frame_013.png,13,1097.716309,969.572571,1097.674561,969.149353,0.425272
images/frame_013.png,19,1035.416626,991.761414,1035.366821,991.670166,0.103955
images/frame_013.png,20,1104.111694,991.126221,1104.517822,991.544495,0.583003
images/frame_013.png,26,1040.427734,1016.341797,1039.265747,1016.423706,1.164871
images/frame_013.png,27,1112.256714,1016.280396,1112.086670,1016.314453,0.173421
images/frame_013.png,28,661.380005,1044.310913,661.345215,1044.385376,0.082189
images/frame_013.png,29,736.752991,1044.080078,737.496948,1044.297852,0.775176
images/frame_013.png,32,966.903870,1043.729736,966.849426,1044.034546,0.309634
images/frame_013.png,33,1043.879028,1043.942627,1043.600708,1043.946411,0.278346
images/frame_013.png,34,1120.535645,1044.138428,1120.503174,1043.858032,0.282269
images/frame_014.png,19,1035.529785,991.680786,1035.366821,991.670166,0.163310
images/frame_014.png,20,1104.174316,991.097107,1104.517822,991.544495,0.564050
images/frame_014.png,22,749.803162,1016.813416,749.332336,1016.858826,0.473010
images/frame_014.png,23,820.989807,1016.510925,821.613831,1016.750305,0.668362
images/frame_014.png,26,1040.531128,1016.344238,1039.265747,1016.423706,1.267874
